序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
2,天元股份,003003,轻工制造,包装印刷,2022-01-26,2022-02-24,10.40,12.37,18.94%
3,合金投资,000633,有色金属,金属非金属新材料,2022-01-10,2022-02-24,6.05,6.43,6.28%
4,莫高股份,600543,食品饮料,饮料制造,2022-02-18,2022-02-23,6.24,6.60,5.77%
5,科新发展,600234,综合,综合,2022-02-11,2022-02-21,9.08,9.56,5.29%
6,森远股份,300210,机械设备,专用设备,2022-02-17,2022-02-21,3.55,3.71,4.51%
7,瑞和股份,002620,建筑装饰,装修装饰,2022-02-09,2022-02-18,5.41,5.71,5.55%
8,青海华鼎,600243,机械设备,通用机械,2022-01-24,2022-02-17,4.21,4.59,9.03%
9,南卫股份,603880,医药生物,医疗器械,2022-02-11,2022-02-16,6.02,6.21,3.16%
10,创兴资源,600193,建筑装饰,装修装饰,2022-01-24,2022-02-11,6.03,6.24,3.48%
1,大连友谊,000679,房地产,房地产开发,2022-02-24,2022-02-28,3.95,4.23,7.09%
2,瑞和股份,002620,建筑装饰,装修装饰,2022-02-24,2022-02-28,5.39,5.80,7.61%
1,东贝集团,601956,家用电器,白色家电,2022-02-07,2022-03-07,6.22,6.38,2.57%
2,梦洁股份,002397,纺织服装,服装家纺,2022-03-02,2022-03-07,3.75,3.76,0.27%
3,蓝丰生化,002513,化工,化学制品,2022-02-21,2022-03-07,4.82,4.84,0.41%
4,银座股份,600858,商业贸易,一般零售,2022-02-28,2022-03-02,4.85,5.15,6.19%
5,大连友谊,000679,房地产,房地产开发,2022-02-24,2022-02-28,3.95,4.23,7.09%
6,瑞和股份,002620,建筑装饰,装修装饰,2022-02-24,2022-02-28,5.39,5.80,7.61%
7,深中华Ａ,000017,汽车,其他交运设备,2021-12-28,2022-02-25,3.50,4.03,15.14%
8,天元股份,003003,轻工制造,包装印刷,2022-01-26,2022-02-24,10.40,12.37,18.94%
9,合金投资,000633,有色金属,金属非金属新材料,2022-01-10,2022-02-24,6.05,6.43,6.28%
10,莫高股份,600543,食品饮料,饮料制造,2022-02-18,2022-02-23,6.24,6.60,5.77%
1,科新发展,600234,综合,综合,2022-03-07,2022-03-10,9.33,9.78,4.82%
2,东贝集团,601956,家用电器,白色家电,2022-02-07,2022-03-07,6.22,6.38,2.57%
3,梦洁股份,002397,纺织服装,服装家纺,2022-03-02,2022-03-07,3.75,3.76,0.27%
4,蓝丰生化,002513,化工,化学制品,2022-02-21,2022-03-07,4.82,4.84,0.41%
5,银座股份,600858,商业贸易,一般零售,2022-02-28,2022-03-02,4.85,5.15,6.19%
6,大连友谊,000679,房地产,房地产开发,2022-02-24,2022-02-28,3.95,4.23,7.09%
7,瑞和股份,002620,建筑装饰,装修装饰,2022-02-24,2022-02-28,5.39,5.80,7.61%
8,深中华Ａ,000017,汽车,其他交运设备,2021-12-28,2022-02-25,3.50,4.03,15.14%
9,合金投资,000633,有色金属,金属非金属新材料,2022-01-10,2022-02-24,6.05,6.43,6.28%
10,天元股份,003003,轻工制造,包装印刷,2022-01-26,2022-02-24,10.40,12.37,18.94%
